id_instrumento,id_emisor,id_tipo_inversion,codigo_titulo,nombre,fecha_emision,fecha_vencimiento,tasa_referencial,rendimiento_nominal,codigo_seb,codigo_bce,fechas_recuperacion,vector_precio,activo,fecha_creacion,fecha_actualizacion,codigo_titulo_vector,match_status
53,139,4,INV_4_20320725,2024-07-25 BONOS DEL ESTADO 2032-07-25,2024-07-25,2032-07-25,5.93,,,,,0.867528374614115,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100401320725,matched_2d
54,131,2,INV_2_20200221,2019-10-25 VECTORQUIM CÍA. LTDA. 2020-02-21,2019-10-25,2020-02-21,9.02,9.02,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
55,130,2,INV_2_20210219,2020-09-02 CARTIMEX S. A. 2021-02-19,2020-09-02,2021-02-19,9.01,9.01,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
56,138,2,INV_2_20210614,2020-12-17 INTEROC S.A. 2021-06-14,2020-12-17,2021-06-14,9.04,9.04,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_alias
57,151,5,INV_5_20310113,TELCONET 2031-01-13,2026-01-13,2031-01-13,9.0,,,,,0.96969070033946,1,2026-03-30 02:40:24,2026-03-30 02:40:24,056010100001310113,matched_2d
58,131,2,INV_2_20200411,2019-12-02 VECTORQUIM CÍA. LTDA. 2020-04-11,2019-12-02,2020-04-11,9.01,9.01,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
59,131,2,INV_2_20200412,2019-12-02 VECTORQUIM CÍA. LTDA. 2020-04-12,2019-12-02,2020-04-12,9.22,9.22,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
60,131,2,INV_2_20200704,2020-02-20 VECTORQUIM CÍA. LTDA. 2020-07-04,2020-02-20,2020-07-04,9.22,9.22,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
61,131,2,INV_2_20200713,2020-02-20 VECTORQUIM CÍA. LTDA. 2020-07-13,2020-02-20,2020-07-13,9.22,9.22,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
62,131,2,INV_2_20200718,2020-02-20 VECTORQUIM CÍA. LTDA. 2020-07-18,2020-02-20,2020-07-18,9.22,9.22,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
63,151,5,INV_5_20290121,TELCONET 2029-01-21,2026-01-21,2029-01-21,9.0,,,,,0.983941555313578,1,2026-03-30 02:40:24,2026-03-30 02:40:24,056010100001290121,matched_2d
64,139,4,INV_4_20330725,2024-07-25 BONOS DEL ESTADO 2033-07-25,2024-07-25,2033-07-25,6.21,,,,,0.808528213937795,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100401330725,matched_2d
